      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:34:07   2438      0   00:34:41   2028      0
 24   02:18:41   4180      0   04:25:07   4767      0
 23   00:37:36   1431      0   02:16:43   1682      0
 22   01:11:56   4333      0   01:48:37   2945      0
 21   00:20:57    559      0   00:29:21    599      0
 20   03:09:35   3368      0   07:41:25   2213      0
 19   01:56:05   3070      0   02:25:00   2013      0
 18   00:08:46     89     12   00:11:02     53     48
 17   03:17:46   6205      0   03:24:36   5657      0
 16   00:25:56   2956      0   01:00:05   1836      0
 15   00:08:26    311      0   00:15:50    500      0
 14   02:03:58   7333      0   05:28:26   9262      0
 13   00:09:13   1453      0   00:56:24   1327      0
 12   00:21:57   3104      0   00:31:44   1757      0
 11   00:35:37   2950      0   02:38:02   6904      0
 10   00:06:51    872      0   02:13:18   6375      0
  9   00:08:59   1748      0   00:17:05   1696      0
  8   00:09:39   2125      0   00:24:39   2322      0
  7   01:02:31   5563      0   01:09:05   3836      0
  6   00:07:57   2696      0   00:13:59   2223      0
  5   00:32:43   5839      0   00:47:27   5974      0
  4   02:15:46  14355      0   02:35:51  10303      0
  3   02:01:56  13272      0   02:39:51  14224      0
  2   02:29:57  13854      0   02:56:44  14397      0
  1   04:48:58  18870      0   06:39:00  22855      0
