      -------Part 1--------   --------Part 2--------
Day       Time  Rank  Score       Time   Rank  Score
 25   00:24:56  1142      0       >24h   6861      0
 24       >24h  8560      0       >24h   8448      0
 23   04:10:31  3498      0   05:16:21   2010      0
 22   00:14:29  1036      0   00:47:05    135      0
 21   00:14:49  1419      0   04:51:20   5061      0
 20   00:26:29   443      0   00:28:07    361      0
 19   08:12:46  3451      0   08:19:23   3230      0
 18   03:40:01  2910      0   03:44:15   2787      0
 17   00:19:52   945      0   00:36:06   1470      0
 16   00:29:55   316      0   00:36:31    313      0
 15   00:17:43   973      0   02:45:44   5161      0
 14   00:13:22  1609      0   00:43:17   1773      0
 13   00:18:58  1617      0   00:23:26   1283      0
 12   00:14:23   768      0   00:28:26   1068      0
 11   00:14:15   588      0   00:16:27    552      0
 10   00:10:50  1784      0   00:22:23   2224      0
  9   00:06:10   537      0   03:00:11  11128      0
  8   00:07:28   912      0   03:49:59  10773      0
  7   00:05:13  1603      0   00:06:27    641      0
  6   00:09:54  2982      0   00:10:15    497      0
  5   00:09:34   576      0   00:28:53   1906      0
  4   00:19:57  1211      0   00:25:14   1072      0
  3   00:11:31  3653      0   00:27:50   2096      0
  2   00:03:58  2020      0   00:06:22   1753      0
  1   00:03:21  1668      0   00:07:10   1360      0
