      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   05:55:12  6789      0   05:55:19  4912      0
 24   06:46:51  4933      0   06:52:14  4640      0
 23   02:02:54  3105      0   02:10:29  2975      0
 22   02:08:44  3346      0   08:59:46  3253      0
 21   00:06:07   254      0   02:12:16  3595      0
 20   00:24:17   289      0   00:27:57   220      0
 19   10:43:29  5092      0   16:09:36  6044      0
 18   00:11:18  1505      0   06:11:56  6938      0
 17   01:30:04  2319      0   07:16:28  3778      0
 16   06:38:15  5353      0   08:03:38  3102      0
 15   01:51:40  6449      0   02:22:20  3903      0
 14   00:44:08  3235      0   00:55:15  3132      0
 13   00:16:41   620      0   00:22:16   575      0
 12   02:53:27  9082      0   03:17:38  9205      0
 11   00:21:12   639      0   00:30:59   617      0
 10   00:09:41   924      0   00:29:21  2112      0
  9   00:17:06  1335      0   00:29:03  1198      0
  8   00:12:17  1287      0   01:00:55  6519      0
  7   00:17:28   488      0   00:24:23   678      0
  6   00:08:03  4669      0   00:13:03  6401      0
  5   00:22:52  3568      0   00:25:48  3149      0
  4   00:06:48  2487      0   00:10:41  2761      0
  3   00:14:12  4806      0   00:20:22  3899      0
  2   00:07:47  1629      0   00:13:46  2027      0
  1   00:02:54  1036      0   00:03:56   740      0
