      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   01:27:56   1959      0   01:28:35   1678      0
 24   00:48:06   1133      0   04:20:11   1941      0
 23   08:02:30   7887      0   14:07:47   6942      0
 22   04:01:12   4251      0   05:21:30   4173      0
 21   01:44:03   5566      0   03:02:26   1388      0
 20   02:50:02   4438      0   04:41:50   3370      0
 19   00:24:39   1125      0   06:24:01   6001      0
 18   05:50:04  10273      0   05:55:37   5998      0
 17   06:19:17   6332      0   06:48:40   5784      0
 16   10:16:37  17052      0   10:40:20  16186      0
 15   02:27:52  11719      0   02:49:01   9288      0
 14   01:07:06   7169      0   01:43:45   4294      0
 13   01:39:10   6424      0   02:13:56   5543      0
 12   02:14:55   7383      0   06:27:05   5675      0
 11   00:23:26   2750      0   00:26:34   1727      0
 10   03:21:50  10763      0   05:16:53   6882      0
  9   00:14:01   2325      0   00:16:04   1725      0
  8   01:28:06  13441      0   01:47:23   8119      0
  7   01:52:25  11226      0   02:02:58   8503      0
  6   01:32:55  15142      0   02:01:41  16132      0
  5   01:46:57  12244      0   02:11:15   4810      0
  4   01:59:16  20074      0   02:39:25  17496      0
  3   00:46:05   5280      0   01:06:23   4866      0
  2   02:06:01  17047      0   02:09:33  15885      0
  1   00:01:39    101      0   00:24:59   2484      0
